"","Tier","Yellow","Green"
"63672",2,1,1
"63673",3,1,0
"63674",4,0,0
"63675",5,0,2
"63676",6,1,1
"63677",7,0,2
"63678",8,2,0
"63679",9,3,0
"63680",10,1,0
"63681",1,1,2
"63682",2,0,0
"63683",3,3,0
"63684",4,1,0
"63685",5,2,0
"63686",6,0,2
"63687",7,0,2
"63688",8,4,0
"63689",9,3,1
"63690",10,0,1
"63691",1,0,1
"63692",2,1,1
"63693",3,1,0
"63694",4,1,0
"63695",5,1,2
"63696",6,0,2
"63697",7,0,1
"63698",8,2,0
"63699",9,1,0
"63700",10,3,0
"63701",1,0,2
"63702",2,2,0
"63703",3,0,2
"63704",4,1,0
"63705",5,2,0
"63706",6,2,1
"63707",7,0,0
"63708",8,1,0
"63709",9,1,0
"63710",10,2,1
"63711",1,0,1
"63712",2,1,1
"63713",3,1,2
"63714",4,3,0
"63715",5,1,0
"63716",6,1,0
"63717",7,2,0
"63718",8,1,1
"63719",9,0,2
"63720",10,1,0
"63721",1,1,1
"63722",2,1,1
"63723",3,2,0
"63724",4,3,0
"63725",5,2,0
"63726",6,2,0
"63727",7,1,0
"63728",8,0,0
"63729",9,2,0
"63730",10,1,0
"63731",1,0,0
"63732",2,2,0
"63733",3,1,1
"63734",4,3,0
"63735",5,2,0
"63736",6,2,1
"63737",7,0,1
"63738",8,1,1
"63739",9,1,0
"63740",10,2,0
"63741",1,2,0
"63742",2,2,0
"63743",3,2,0
"63744",4,0,1
"63745",5,1,1
"63746",6,0,1
"63747",7,2,0
"63748",8,0,1
"63749",9,1,1
"63750",10,3,0
"63751",1,1,1
"63752",2,0,1
"63753",3,2,1
"63754",4,2,0
"63755",5,3,0
"63756",6,1,1
"63757",7,1,1
"63758",8,0,2
"63759",9,2,0
"63760",10,1,0
"63761",1,0,1
"63762",2,0,1
"63763",3,0,1
"63764",4,0,3
"63765",5,1,0
"63766",6,1,1
"63767",7,0,0
"63768",8,1,1
"63769",9,2,0
"63770",10,3,0
"63771",1,1,0
"63772",2,0,3
"63773",3,0,1
"63774",4,3,1
"63775",5,1,0
"63776",6,4,0
"63777",7,0,2
"63778",8,2,0
"63779",9,0,0
"63780",10,2,0
"63781",1,1,1
"63782",2,2,0
"63783",3,0,0
"63784",4,1,1
"63785",5,1,1
"63786",6,2,0
"63787",7,3,1
"63788",8,0,1
"63789",9,1,0
"63790",10,2,0
"63791",1,2,1
"63792",2,0,3
"63793",3,2,0
"63794",4,1,0
"63795",5,1,0
"63796",6,1,0
"63797",7,1,1
"63798",8,0,2
"63799",9,1,0
"63800",10,2,0
"63801",1,0,1
"63802",2,1,1
"63803",3,1,1
"63804",4,1,0
"63805",5,0,1
"63806",6,0,0
"63807",7,0,3
"63808",8,2,0
"63809",9,0,2
"63810",10,2,0
"63811",1,2,0
"63812",2,2,1
"63813",3,1,0
"63814",4,1,1
"63815",5,0,0
"63816",6,2,1
"63817",7,1,1
"63818",8,3,0
"63819",9,0,1
"63820",10,2,1
"63821",1,1,1
"63822",2,1,2
"63823",3,1,0
"63824",4,1,0
"63825",5,3,0
"63826",6,0,2
"63827",7,1,0
"63828",8,1,0
"63829",9,1,0
"63830",10,0,1
"63831",1,1,0
"63832",2,0,2
"63833",3,0,2
"63834",4,1,1
"63835",5,1,2
"63836",6,2,1
"63837",7,2,1
"63838",8,2,0
"63839",9,1,0
"63840",10,1,0
"63841",1,0,1
"63842",2,2,0
"63843",3,0,0
"63844",4,2,0
"63845",5,1,0
"63846",6,1,1
"63847",7,2,0
"63848",8,1,0
"63849",9,0,2
"63850",10,1,1
"63851",1,2,1
"63852",2,1,0
"63853",3,1,0
"63854",4,0,0
"63855",5,1,0
"63856",6,1,1
"63857",7,0,2
"63858",8,3,1
"63859",9,0,0
"63860",10,1,1
"63861",1,1,1
"63862",2,2,0
"63863",3,2,0
"63864",4,2,0
"63865",5,2,0
"63866",6,1,1
"63867",7,0,1
"63868",8,1,0
"63869",9,2,0
"63870",10,0,2
"63871",1,1,1
"63872",2,1,1
"63873",3,3,0
"63874",4,1,1
"63875",5,3,0
"63876",6,2,2
"63877",7,0,0
"63878",8,0,1
"63879",9,1,0
"63880",10,0,0
"63881",1,1,0
"63882",2,0,0
"63883",3,0,1
"63884",4,3,0
"63885",5,2,0
"63886",6,1,0
"63887",7,0,2
"63888",8,1,0
"63889",9,1,1
"63890",10,0,0
"63891",1,0,0
"63892",2,0,1
"63893",3,1,0
"63894",4,0,1
"63895",5,2,0
"63896",6,2,0
"63897",7,0,2
"63898",8,1,0
"63899",9,0,0
"63900",10,2,0
"63901",1,0,0
"63902",2,1,1
"63903",3,0,0
"63904",4,1,1
"63905",5,2,1
"63906",6,0,1
"63907",7,2,0
"63908",8,0,1
"63909",9,2,0
"63910",10,0,0
"63911",1,1,0
"63912",2,1,0
"63913",3,0,1
"63914",4,1,1
"63915",5,1,0
"63916",6,1,0
"63917",7,1,0
"63918",8,1,1
"63919",9,1,0
"63920",10,1,0
"63921",1,1,1
"63922",2,1,0
"63923",3,1,0
"63924",4,1,1
"63925",5,2,0
"63926",6,0,0
"63927",7,1,1
"63928",8,2,0
"63929",9,2,0
"63930",10,0,0
"63931",1,2,0
"63932",2,1,0
"63933",3,3,0
"63934",4,0,1
"63935",5,2,1
"63936",6,0,0
"63937",7,2,0
"63938",8,2,0
"63939",9,2,0
"63940",10,2,0
"63941",1,1,2
"63942",2,0,3
"63943",3,1,1
"63944",4,1,0
"63945",5,2,0
"63946",6,2,1
"63947",7,1,1
"63948",8,1,1
"63949",9,2,0
"63950",10,0,0
"63951",1,3,0
"63952",2,0,2
"63953",3,0,0
"63954",4,1,1
"63955",5,3,0
"63956",6,3,0
"63957",7,1,2
"63958",8,0,2
"63959",9,2,1
"63960",10,1,0
"63961",1,0,2
"63962",2,1,2
"63963",3,2,1
"63964",4,2,0
"63965",5,2,0
"63966",6,0,1
"63967",7,0,1
"63968",8,1,0
"63969",9,1,0
"63970",10,1,0
"63971",1,1,0
"63972",2,1,0
"63973",3,0,2
"63974",4,0,1
"63975",5,2,1
"63976",6,2,0
"63977",7,1,1
"63978",8,2,1
"63979",9,2,0
"63980",10,1,0
"63981",1,0,1
"63982",2,1,1
"63983",3,0,1
"63984",4,2,0
"63985",5,3,0
"63986",6,1,1
"63987",7,2,1
"63988",8,3,1
"63989",9,2,0
"63990",10,2,0
"63991",1,3,0
"63992",2,0,0
"63993",3,2,2
"63994",4,1,1
"63995",5,3,0
"63996",6,1,2
"63997",7,0,2
"63998",8,0,1
"63999",9,0,1
"64000",10,1,0
"64001",1,0,1
"64002",2,0,1
"64003",3,1,1
"64004",4,1,0
"64005",5,2,0
"64006",6,3,0
"64007",7,0,1
"64008",8,1,1
"64009",9,1,0
"64010",10,1,0
"64011",1,1,0
"64012",2,1,1
"64013",3,2,1
"64014",4,0,0
"64015",5,3,0
"64016",6,1,1
"64017",7,1,1
"64018",8,3,0
"64019",9,1,0
"64020",10,3,0
"64021",1,1,0
"64022",2,2,0
"64023",3,1,0
"64024",4,0,3
"64025",5,3,0
"64026",6,1,0
"64027",7,2,0
"64028",8,1,1
"64029",9,1,0
"64030",10,0,0
"64031",1,3,0
"64032",2,2,0
"64033",3,1,1
"64034",4,2,0
"64035",5,1,2
"64036",6,0,1
"64037",7,2,0
"64038",8,2,2
"64039",9,2,0
"64040",10,1,0
"64041",1,0,0
"64042",2,0,0
"64043",3,0,2
"64044",4,2,0
"64045",5,2,0
"64046",6,1,1
"64047",7,2,0
"64048",8,2,0
"64049",9,1,0
"64050",10,2,0
"64051",1,0,1
"64052",2,0,1
"64053",3,3,0
"64054",4,2,0
"64055",5,1,0
"64056",6,1,0
"64057",7,0,1
"64058",8,1,0
"64059",9,1,1
"64060",10,2,1
"64061",1,1,0
"64062",2,2,0
"64063",3,0,1
"64064",4,1,3
"64065",5,0,1
"64066",6,1,0
"64067",7,2,0
"64068",8,0,1
"64069",9,1,1
"64070",10,1,0
"64071",1,0,0
"64072",2,1,0
"64073",3,1,0
"64074",4,1,1
"64075",5,2,0
"64076",6,3,0
"64077",7,1,2
"64078",8,2,0
"64079",9,3,0
"64080",10,1,1
"64081",1,3,0
"64082",2,0,2
"64083",3,1,0
"64084",4,0,1
"64085",5,2,0
"64086",6,1,2
"64087",7,1,1
"64088",8,1,0
"64089",9,1,0
"64090",10,0,0
"64091",1,1,0
"64092",2,0,1
"64093",3,0,1
"64094",4,0,0
"64095",5,3,0
"64096",6,4,0
"64097",7,1,0
"64098",8,1,0
"64099",9,2,0
"64100",10,3,0
"64101",1,0,1
"64102",2,0,1
"64103",3,1,0
"64104",4,0,0
"64105",5,1,1
"64106",6,1,0
"64107",7,2,0
"64108",8,2,0
"64109",9,1,0
"64110",10,2,0
"64111",1,0,1
"64112",2,2,1
"64113",3,3,0
"64114",4,2,0
"64115",5,0,2
"64116",6,1,1
"64117",7,1,1
"64118",8,1,0
"64119",9,0,0
"64120",10,0,1
"64121",1,0,1
"64122",2,2,1
"64123",3,0,2
"64124",4,3,0
"64125",5,2,0
"64126",6,3,0
"64127",7,1,0
"64128",8,3,0
"64129",9,4,0
"64130",10,1,0
"64131",1,2,0
"64132",2,0,1
"64133",3,1,0
"64134",4,0,1
"64135",5,2,0
"64136",6,1,0
"64137",7,1,0
"64138",8,2,1
"64139",9,2,0
"64140",10,3,0
"64141",1,2,0
"64142",2,2,0
"64143",3,1,2
"64144",4,0,0
"64145",5,0,1
"64146",6,1,2
"64147",7,2,0
"64148",8,1,0
"64149",9,2,0
"64150",10,2,0
"64151",1,1,1
"64152",2,0,2
"64153",3,0,3
"64154",4,0,1
"64155",5,1,2
"64156",6,3,0
"64157",7,1,0
"64158",8,1,0
"64159",9,1,0
"64160",10,2,0
"64161",1,0,2
"64162",2,1,0
"64163",3,1,0
"64164",4,1,0
"64165",5,3,0
"64166",6,1,0
"64167",7,2,0
"64168",8,2,0
"64169",9,1,1
"64170",10,1,0
"64171",1,1,0
"64172",2,1,0
"64173",3,1,1
"64174",4,0,2
"64175",5,1,0
"64176",6,0,1
"64177",7,1,2
"64178",8,0,1
"64179",9,2,0
"64180",10,1,1
"64181",1,1,0
"64182",2,0,0
"64183",3,2,1
"64184",4,1,1
"64185",5,0,1
"64186",6,0,0
"64187",7,1,1
"64188",8,3,0
"64189",9,1,1
"64190",10,1,0
"64191",1,0,0
"64192",2,1,0
"64193",3,0,0
"64194",4,1,1
"64195",5,0,1
"64196",6,1,0
"64197",7,1,1
"64198",8,3,1
"64199",9,3,0
"64200",10,1,0
"64201",1,1,0
"64202",2,1,0
"64203",3,0,2
"64204",4,0,2
"64205",5,1,0
"64206",6,0,1
"64207",7,1,1
"64208",8,3,0
"64209",9,3,0
"64210",10,1,0
"64211",1,1,0
"64212",2,1,0
"64213",3,2,0
"64214",4,1,1
"64215",5,2,1
"64216",6,3,0
"64217",7,2,0
"64218",8,2,0
"64219",9,1,1
"64220",10,1,0
"64221",1,2,0
"64222",2,0,0
"64223",3,2,0
"64224",4,1,1
"64225",5,1,1
"64226",6,2,0
"64227",7,1,1
"64228",8,0,1
"64229",9,2,0
"64230",10,1,1
"64231",1,0,0
"64232",2,3,0
"64233",3,0,0
"64234",4,2,0
"64235",5,1,0
"64236",6,1,0
"64237",7,1,0
"64238",8,1,0
"64239",9,0,0
"64240",10,0,1
"64241",1,0,2
"64242",2,2,0
"64243",3,1,2
"64244",4,0,1
"64245",5,2,0
"64246",6,2,0
"64247",7,0,4
"64248",8,0,2
"64249",9,0,0
"64250",10,0,2
"64251",1,1,0
"64252",2,1,1
"64253",3,0,1
"64254",4,2,0
"64255",5,2,1
"64256",6,2,0
"64257",7,0,1
"64258",8,1,1
"64259",9,2,0
"64260",10,1,0
"64261",1,1,0
"64262",2,1,1
"64263",3,1,0
"64264",4,2,0
"64265",5,1,1
"64266",6,2,1
"64267",7,1,0
"64268",8,0,1
"64269",9,1,0
"64270",10,0,2
"64271",1,2,0
"64272",2,1,0
"64273",3,1,0
"64274",4,0,1
"64275",5,0,1
"64276",6,1,0
"64277",7,0,2
"64278",8,1,0
"64279",9,1,1
"64280",10,0,2
"64281",1,0,2
"64282",2,1,0
"64283",3,2,0
"64284",4,1,0
"64285",5,0,0
"64286",6,2,0
"64287",7,1,0
"64288",8,1,1
"64289",9,0,1
"64290",10,3,0
"64291",1,0,0
"64292",2,0,0
"64293",3,1,0
"64294",4,1,0
"64295",5,4,0
"64296",6,0,0
"64297",7,1,0
"64298",8,3,0
"64299",9,1,0
"64300",10,1,0
"64301",1,1,0
"64302",2,1,0
"64303",3,2,0
"64304",4,0,3
"64305",5,3,0
"64306",6,1,0
"64307",7,0,0
"64308",8,1,0
"64309",9,2,0
"64310",10,1,1
"64311",1,1,0
"64312",2,2,1
"64313",3,0,1
"64314",4,3,0
"64315",5,1,0
"64316",6,0,2
"64317",7,2,0
"64318",8,0,2
"64319",9,0,1
"64320",10,2,0
"64321",1,0,2
"64322",2,1,0
"64323",3,1,0
"64324",4,1,0
"64325",5,1,0
"64326",6,1,1
"64327",7,1,0
"64328",8,0,0
"64329",9,0,0
"64330",10,1,0
"64331",1,1,1
"64332",2,2,0
"64333",3,0,2
"64334",4,1,1
"64335",5,1,1
"64336",6,1,0
"64337",7,2,1
"64338",8,1,0
"64339",9,0,0
"64340",10,0,1
"64341",1,2,0
"64342",2,0,1
"64343",3,2,0
"64344",4,0,3
"64345",5,0,2
"64346",6,2,0
"64347",7,1,1
"64348",8,0,1
"64349",9,2,0
"64350",10,1,0
"64351",1,0,0
"64352",2,0,1
"64353",3,0,1
"64354",4,3,1
"64355",5,1,1
"64356",6,1,2
"64357",7,1,2
"64358",8,2,0
"64359",9,1,0
"64360",10,2,1
"64361",1,0,1
"64362",2,2,0
"64363",3,1,1
"64364",4,1,1
"64365",5,2,0
"64366",6,0,2
"64367",7,1,0
"64368",8,1,1
"64369",9,2,0
"64370",10,1,0
"64371",1,1,1
"64372",2,0,1
"64373",3,1,1
"64374",4,3,0
"64375",5,3,0
"64376",6,1,1
"64377",7,3,0
"64378",8,2,0
"64379",9,0,0
"64380",10,1,2
"64381",1,1,0
"64382",2,0,2
"64383",3,0,0
"64384",4,2,0
"64385",5,1,1
"64386",6,1,2
"64387",7,1,0
"64388",8,0,1
"64389",9,0,1
"64390",10,0,1
"64391",1,1,0
"64392",2,0,0
"64393",3,0,2
"64394",4,1,0
"64395",5,2,0
"64396",6,1,0
"64397",7,1,0
"64398",8,3,0
"64399",9,2,0
"64400",10,2,0
"64401",1,0,1
"64402",2,1,1
"64403",3,0,3
"64404",4,0,1
"64405",5,2,1
"64406",6,1,1
"64407",7,1,1
"64408",8,0,0
"64409",9,1,0
"64410",10,2,2
"64411",1,1,0
"64412",2,1,0
"64413",3,0,1
"64414",4,2,1
"64415",5,1,0
"64416",6,2,1
"64417",7,1,0
"64418",8,2,0
"64419",9,0,2
"64420",10,2,0
"64421",1,2,0
"64422",2,0,1
"64423",3,0,1
"64424",4,0,3
"64425",5,2,0
"64426",6,1,0
"64427",7,2,0
"64428",8,2,1
"64429",9,2,1
"64430",10,1,0
"64431",1,0,1
"64432",2,1,1
"64433",3,0,0
"64434",4,1,0
"64435",5,2,0
"64436",6,2,0
"64437",7,2,0
"64438",8,2,0
"64439",9,1,1
"64440",10,0,0
"64441",1,1,0
"64442",2,2,0
"64443",3,2,0
"64444",4,0,1
"64445",5,3,0
"64446",6,2,0
"64447",7,2,0
"64448",8,4,0
"64449",9,0,2
"64450",10,2,1
"64451",1,1,1
"64452",2,1,2
"64453",3,1,1
"64454",4,2,1
"64455",5,1,0
"64456",6,1,1
"64457",7,1,0
"64458",8,3,0
"64459",9,0,1
"64460",10,2,1
"64461",1,2,0
"64462",2,1,1
"64463",3,1,0
"64464",4,1,1
"64465",5,1,1
"64466",6,3,0
"64467",7,1,0
"64468",8,0,1
"64469",9,2,0
"64470",10,0,0
"64471",1,1,0
"64472",2,0,1
"64473",3,2,0
"64474",4,0,0
"64475",5,1,1
"64476",6,1,0
"64477",7,2,0
"64478",8,0,1
"64479",9,3,0
"64480",10,1,2
"64481",1,0,2
"64482",2,2,1
"64483",3,2,0
"64484",4,1,0
"64485",5,2,0
"64486",6,1,1
"64487",7,1,0
"64488",8,0,2
"64489",9,0,1
"64490",10,1,1
"64491",1,1,0
"64492",2,3,0
"64493",3,0,1
"64494",4,1,0
"64495",5,1,0
"64496",6,2,0
"64497",7,1,1
"64498",8,1,0
"64499",9,1,1
"64500",10,1,0
"64501",1,1,2
"64502",2,1,1
"64503",3,0,0
"64504",4,0,0
"64505",5,1,2
"64506",6,2,0
"64507",7,2,0
"64508",8,1,1
"64509",9,2,0
"64510",10,1,1
"64511",1,1,0
"64512",2,1,0
"64513",3,1,0
"64514",4,1,2
"64515",5,2,1
"64516",6,1,0
"64517",7,1,0
"64518",8,0,4
"64519",9,1,0
"64520",10,3,0
"64521",1,0,1
"64522",2,2,0
"64523",3,3,0
"64524",4,2,0
"64525",5,2,1
"64526",6,2,1
"64527",7,2,1
"64528",8,1,1
"64529",9,2,0
"64530",10,1,1
"64531",1,0,1
"64532",2,2,0
"64533",3,0,2
"64534",4,2,1
"64535",5,0,1
"64536",6,1,1
"64537",7,1,0
"64538",8,1,0
"64539",9,0,1
"64540",10,0,0
"64541",1,0,1
"64542",2,2,0
"64543",3,3,0
"64544",4,1,1
"64545",5,2,0
"64546",6,1,1
"64547",7,1,0
"64548",8,1,1
"64549",9,1,0
"64550",10,0,1
"64551",1,0,1
"64552",2,2,0
"64553",3,1,1
"64554",4,0,0
"64555",5,1,1
"64556",6,0,1
"64557",7,1,0
"64558",8,1,1
"64559",9,2,0
"64560",10,1,0
"64561",1,0,1
"64562",2,1,0
"64563",3,2,0
"64564",4,1,1
"64565",5,3,0
"64566",6,3,0
"64567",7,2,0
"64568",8,0,1
"64569",9,1,1
"64570",10,2,0
"64571",1,1,0
"64572",2,0,1
"64573",3,0,0
"64574",4,1,0
"64575",5,2,1
"64576",6,2,1
"64577",7,1,0
"64578",8,3,0
"64579",9,1,1
"64580",10,0,0
"64581",1,0,0
"64582",2,1,0
"64583",3,0,2
"64584",4,1,1
"64585",5,2,0
"64586",6,1,0
"64587",7,1,0
"64588",8,3,0
"64589",9,0,2
"64590",10,0,0
"64591",1,2,1
"64592",2,0,0
"64593",3,1,1
"64594",4,1,0
"64595",5,0,1
"64596",6,1,0
"64597",7,2,0
"64598",8,3,0
"64599",9,1,0
"64600",10,0,0
"64601",1,0,0
"64602",2,0,1
"64603",3,2,1
"64604",4,2,0
"64605",5,1,0
"64606",6,2,1
"64607",7,0,2
"64608",8,3,0
"64609",9,3,0
"64610",10,2,0
"64611",1,0,0
"64612",2,1,0
"64613",3,1,0
"64614",4,0,1
"64615",5,2,0
"64616",6,2,0
"64617",7,0,0
"64618",8,1,0
"64619",9,1,0
"64620",10,2,0
"64621",1,1,1
"64622",2,1,0
"64623",3,1,0
"64624",4,2,0
"64625",5,1,0
"64626",6,3,0
"64627",7,0,1
"64628",8,2,0
"64629",9,1,0
"64630",10,0,3
"64631",1,1,0
"64632",2,0,2
"64633",3,0,0
"64634",4,1,0
"64635",5,1,1
"64636",6,1,0
"64637",7,2,0
"64638",8,0,1
"64639",9,1,1
"64640",10,2,0
"64641",1,0,1
"64642",2,1,0
"64643",3,2,0
"64644",4,1,2
"64645",5,1,1
"64646",6,1,1
"64647",7,0,1
"64648",8,0,1
"64649",9,2,0
"64650",10,1,0
"64651",1,0,0
"64652",2,2,1
"64653",3,0,0
"64654",4,0,1
"64655",5,2,0
"64656",6,0,2
"64657",7,2,0
"64658",8,1,1
"64659",9,2,1
"64660",10,0,0
"64661",1,1,2
"64662",2,2,0
"64663",3,1,1
"64664",4,2,1
"64665",5,0,5
"64666",6,0,2
"64667",7,2,1
"64668",8,1,0
"64669",9,3,0
"64670",10,2,0
"64671",1,2,0
"64672",2,3,0
"64673",3,0,1
"64674",4,2,0
"64675",5,1,2
"64676",6,0,2
"64677",7,1,0
"64678",8,1,0
"64679",9,0,0
"64680",10,0,3
"64681",1,1,0
"64682",2,0,0
"64683",3,1,2
"64684",4,0,0
"64685",5,2,0
"64686",6,1,0
"64687",7,1,0
"64688",8,2,0
"64689",9,0,3
"64690",10,2,0
"64691",1,0,1
"64692",2,1,0
"64693",3,1,0
"64694",4,0,2
"64695",5,2,0
"64696",6,1,0
"64697",7,0,2
"64698",8,1,1
"64699",9,1,1
"64700",10,0,0
"64701",1,0,0
"64702",2,1,0
"64703",3,1,2
"64704",4,2,2
"64705",5,2,0
"64706",6,1,1
"64707",7,1,2
"64708",8,0,1
"64709",9,0,0
"64710",10,0,1
"64711",1,1,1
"64712",2,0,5
"64713",3,2,0
"64714",4,2,1
"64715",5,0,1
"64716",6,3,0
"64717",7,0,0
"64718",8,1,0
"64719",9,1,1
"64720",10,1,2
"64721",1,2,1
"64722",2,0,2
"64723",3,2,0
"64724",4,0,1
"64725",5,1,0
"64726",6,1,1
"64727",7,2,0
"64728",8,0,2
"64729",9,1,1
"64730",10,0,1
"64731",1,1,1
"64732",2,1,0
"64733",3,1,0
"64734",4,0,2
"64735",5,0,1
"64736",6,2,0
"64737",7,1,1
"64738",8,2,0
"64739",9,0,1
"64740",10,1,0
"64741",1,1,0
"64742",2,2,0
"64743",3,3,0
"64744",4,2,0
"64745",5,1,0
"64746",6,0,0
"64747",7,0,1
"64748",8,0,2
"64749",9,2,0
"64750",10,1,1
"64751",1,0,1
"64752",2,0,1
"64753",3,2,0
"64754",4,0,0
"64755",5,2,0
"64756",6,2,0
"64757",7,3,0
"64758",8,1,1
"64759",9,1,0
"64760",10,1,0
"64761",1,1,1
"64762",2,1,0
"64763",3,1,1
"64764",4,0,0
"64765",5,1,1
"64766",6,1,2
"64767",7,0,1
"64768",8,0,1
"64769",9,2,0
"64770",10,0,0
"64771",1,0,1
"64772",2,1,0
"64773",3,0,0
"64774",4,1,0
"64775",5,1,1
"64776",6,2,0
"64777",7,1,0
"64778",8,0,1
"64779",9,1,0
"64780",10,2,0
"64781",1,1,0
"64782",2,1,0
"64783",3,1,1
"64784",4,1,0
"64785",5,2,1
"64786",6,0,1
"64787",7,1,1
"64788",8,0,0
"64789",9,0,0
"64790",10,2,0
"64791",1,1,1
"64792",2,1,1
"64793",3,3,0
"64794",4,2,0
"64795",5,2,0
"64796",6,2,0
"64797",7,1,1
"64798",8,1,1
"64799",9,0,1
"64800",10,2,0
"64801",1,0,1
"64802",2,2,0
"64803",3,2,0
"64804",4,1,2
"64805",5,0,2
"64806",6,1,1
"64807",7,1,1
"64808",8,0,1
"64809",9,0,2
"64810",10,0,0
"64811",1,1,0
"64812",2,3,0
"64813",3,1,0
"64814",4,2,0
"64815",5,2,2
"64816",6,0,0
"64817",7,1,0
"64818",8,2,0
"64819",9,0,2
"64820",10,1,2
"64821",1,1,0
"64822",2,1,1
"64823",3,3,0
"64824",4,2,0
"64825",5,1,2
"64826",6,2,0
"64827",7,2,0
"64828",8,1,0
"64829",9,2,0
"64830",10,1,0
"64831",1,2,0
"64832",2,1,1
"64833",3,0,1
"64834",4,2,0
"64835",5,2,0
"64836",6,2,0
"64837",7,1,0
"64838",8,1,0
"64839",9,0,1
"64840",10,0,0
"64841",1,0,1
"64842",2,1,1
"64843",3,0,1
"64844",4,1,1
"64845",5,3,0
"64846",6,2,0
"64847",7,1,0
"64848",8,1,1
"64849",9,1,0
"64850",10,1,0
"64851",1,1,2
"64852",2,1,0
"64853",3,1,2
"64854",4,2,1
"64855",5,1,0
"64856",6,1,0
"64857",7,0,2
"64858",8,0,1
"64859",9,2,1
"64860",10,1,0
"64861",1,0,0
"64862",2,0,2
"64863",3,1,1
"64864",4,0,3
"64865",5,2,0
"64866",6,2,0
"64867",7,2,0
"64868",8,2,0
"64869",9,0,1
"64870",10,1,0
"64871",1,0,0
"64872",2,1,1
"64873",3,0,1
"64874",4,2,1
"64875",5,1,1
"64876",6,0,0
"64877",7,2,0
"64878",8,1,0
"64879",9,1,1
"64880",10,2,0
"64881",1,0,1
"64882",2,1,0
"64883",3,0,2
"64884",4,0,4
"64885",5,2,1
"64886",6,1,1
"64887",7,1,0
"64888",8,2,0
"64889",9,3,1
"64890",10,0,1
"64891",1,1,0
"64892",2,1,0
"64893",3,0,1
"64894",4,2,1
"64895",5,2,0
"64896",6,1,0
"64897",7,1,2
"64898",8,0,0
"64899",9,2,1
"64900",10,3,0
"64901",1,0,2
"64902",2,0,1
"64903",3,1,1
"64904",4,1,0
"64905",5,0,0
"64906",6,1,1
"64907",7,1,1
"64908",8,3,0
"64909",9,1,1
"64910",10,1,1
"64911",1,1,0
"64912",2,2,0
"64913",3,1,0
"64914",4,1,0
"64915",5,2,1
"64916",6,0,1
"64917",7,1,2
"64918",8,1,0
"64919",9,1,0
"64920",10,0,0
"64921",1,2,1
"64922",2,0,0
"64923",3,1,0
"64924",4,1,2
"64925",5,1,0
"64926",6,0,2
"64927",7,3,0
"64928",8,0,0
"64929",9,0,1
"64930",10,0,0
"64931",1,0,1
"64932",2,0,0
"64933",3,1,1
"64934",4,2,1
"64935",5,2,0
"64936",6,0,1
"64937",7,1,0
"64938",8,2,1
"64939",9,0,2
"64940",10,3,1
"64941",1,0,1
"64942",2,0,0
"64943",3,0,1
"64944",4,1,1
"64945",5,2,0
"64946",6,1,0
"64947",7,0,2
"64948",8,3,0
"64949",9,2,0
"64950",10,1,2
"64951",1,3,0
"64952",2,2,0
"64953",3,2,0
"64954",4,0,2
"64955",5,3,0
"64956",6,1,0
"64957",7,1,0
"64958",8,1,0
"64959",9,0,0
"64960",10,1,1
"64961",1,1,1
"64962",2,2,0
"64963",3,1,1
"64964",4,0,0
"64965",5,3,0
"64966",6,4,0
"64967",7,1,0
"64968",8,1,0
"64969",9,3,0
"64970",10,3,0
"64971",1,0,1
"64972",2,0,1
"64973",3,2,0
"64974",4,2,1
"64975",5,3,0
"64976",6,0,3
"64977",7,2,0
"64978",8,1,1
"64979",9,2,0
"64980",10,1,0
"64981",1,1,0
"64982",2,0,0
"64983",3,1,1
"64984",4,1,0
"64985",5,2,0
"64986",6,1,1
"64987",7,1,0
"64988",8,2,1
"64989",9,1,0
"64990",10,1,0
"64991",1,0,0
"64992",2,1,0
"64993",3,1,0
"64994",4,2,1
"64995",5,3,0
"64996",6,1,0
"64997",7,1,1
"64998",8,0,1
"64999",9,1,1
"65000",10,0,1
"65001",1,0,1
"65002",2,1,1
"65003",3,3,0
"65004",4,1,0
"65005",5,1,1
"65006",6,1,1
"65007",7,0,0
"65008",8,0,1
"65009",9,0,3
"65010",10,2,1
"65011",1,0,1
"65012",2,1,0
"65013",3,2,1
"65014",4,3,0
"65015",5,2,0
"65016",6,0,0
"65017",7,2,0
"65018",8,2,1
"65019",9,1,1
"65020",10,2,0
"65021",1,0,1
"65022",2,0,0
"65023",3,0,0
"65024",4,1,2
"65025",5,0,0
"65026",6,2,0
"65027",7,0,1
"65028",8,0,0
"65029",9,0,0
"65030",10,1,2
"65031",1,1,0
"65032",2,0,1
"65033",3,1,0
"65034",4,0,2
"65035",5,2,0
"65036",6,1,1
"65037",7,0,0
"65038",8,2,0
"65039",9,0,1
"65040",10,2,0
"65041",1,0,1
"65042",2,2,1
"65043",3,1,1
"65044",4,0,2
"65045",5,2,0
"65046",6,1,2
"65047",7,3,0
"65048",8,1,0
"65049",9,1,0
"65050",10,3,0
"65051",1,2,0
"65052",2,0,0
"65053",3,3,0
"65054",4,2,0
"65055",5,2,0
"65056",6,1,1
"65057",7,0,1
"65058",8,0,0
"65059",9,2,0
"65060",10,3,0
"65061",1,0,2
"65062",2,2,0
"65063",3,0,1
"65064",4,1,1
"65065",5,3,0
"65066",6,3,0
"65067",7,3,0
"65068",8,0,0
"65069",9,1,0
