"","Tier","Yellow","Green"
"579",9,0,2
"580",10,1,1
"581",1,0,0
"582",2,1,0
"583",3,3,0
"584",4,0,1
"585",5,1,2
"586",6,0,1
"587",7,1,0
"588",8,2,1
"589",9,0,1
"590",10,1,0
"591",1,2,0
"592",2,1,0
"593",3,0,2
"594",4,1,0
"595",5,3,0
"596",6,3,1
"597",7,2,1
"598",8,1,1
"599",9,2,0
"600",10,0,1
"601",1,1,0
"602",2,2,0
"603",3,1,0
"604",4,3,0
"605",5,0,0
"606",6,0,0
"607",7,1,0
"608",8,3,0
"609",9,2,0
"610",10,1,0
"611",1,1,1
"612",2,2,0
"613",3,3,0
"614",4,0,0
"615",5,3,0
"616",6,1,0
"617",7,2,0
"618",8,0,1
"619",9,2,0
"620",10,1,0
"621",1,0,1
"622",2,1,0
"623",3,0,1
"624",4,2,0
"625",5,3,0
"626",6,2,1
"627",7,0,0
"628",8,0,2
"629",9,0,0
"630",10,1,0
"631",1,1,0
"632",2,1,1
"633",3,2,0
"634",4,0,1
"635",5,1,1
"636",6,0,1
"637",7,1,2
"638",8,2,0
"639",9,1,1
"640",10,1,0
"641",1,1,0
"642",2,3,0
"643",3,0,1
"644",4,3,0
"645",5,1,0
"646",6,2,0
"647",7,2,0
"648",8,1,1
"649",9,2,0
"650",10,1,1
"651",1,2,0
"652",2,3,0
"653",3,1,1
"654",4,0,0
"655",5,2,0
"656",6,2,0
"657",7,0,1
"658",8,0,1
"659",9,0,1
"660",10,1,0
"661",1,0,0
"662",2,0,1
"663",3,2,1
"664",4,0,1
"665",5,1,0
"666",6,2,0
"667",7,2,1
"668",8,0,0
"669",9,2,0
"670",10,0,1
"671",1,0,0
"672",2,2,1
"673",3,2,0
"674",4,0,3
"675",5,2,0
"676",6,1,1
"677",7,0,1
"678",8,2,1
"679",9,1,0
"680",10,0,1
"681",1,1,1
"682",2,0,1
"683",3,0,1
"684",4,1,0
"685",5,0,0
"686",6,1,1
"687",7,1,0
"688",8,3,0
"689",9,1,0
"690",10,1,1
"691",1,1,0
"692",2,2,0
"693",3,0,2
"694",4,2,0
"695",5,1,0
"696",6,2,0
"697",7,2,0
"698",8,2,1
"699",9,2,0
"700",10,0,1
"701",1,1,0
"702",2,1,0
"703",3,1,0
"704",4,1,0
"705",5,1,1
"706",6,2,0
"707",7,0,1
"708",8,1,0
"709",9,0,1
"710",10,2,0
"711",1,1,0
"712",2,0,1
"713",3,0,2
"714",4,1,0
"715",5,2,1
"716",6,2,0
"717",7,0,0
"718",8,2,0
"719",9,1,0
"720",10,1,0
"721",1,2,1
"722",2,1,0
"723",3,1,0
"724",4,1,2
"725",5,3,0
"726",6,1,0
"727",7,2,0
"728",8,2,1
"729",9,2,1
"730",10,1,1
"731",1,1,0
"732",2,1,0
"733",3,2,0
"734",4,2,0
"735",5,2,1
"736",6,1,2
"737",7,3,0
"738",8,1,0
"739",9,1,1
"740",10,1,0
"741",1,1,1
"742",2,1,0
"743",3,2,0
"744",4,0,3
"745",5,1,0
"746",6,1,0
"747",7,1,1
"748",8,2,0
"749",9,1,0
"750",10,0,1
"751",1,2,0
"752",2,1,1
"753",3,0,0
"754",4,2,0
"755",5,3,0
"756",6,2,0
"757",7,0,1
"758",8,2,0
"759",9,2,0
"760",10,0,0
"761",1,0,3
"762",2,2,0
"763",3,1,1
"764",4,2,0
"765",5,2,0
"766",6,1,1
"767",7,0,1
"768",8,0,2
"769",9,3,0
"770",10,1,1
"771",1,2,0
"772",2,0,1
"773",3,0,1
"774",4,1,1
"775",5,2,0
"776",6,1,0
"777",7,0,1
"778",8,1,1
"779",9,0,2
"780",10,3,0
"781",1,1,0
"782",2,0,0
"783",3,3,0
"784",4,1,1
"785",5,1,1
"786",6,1,1
"787",7,2,1
"788",8,1,2
"789",9,0,0
"790",10,1,1
"791",1,0,0
"792",2,1,0
"793",3,1,0
"794",4,1,1
"795",5,1,1
"796",6,0,1
"797",7,2,0
"798",8,2,0
"799",9,3,0
"800",10,2,0
"801",1,0,0
"802",2,2,1
"803",3,2,1
"804",4,1,1
"805",5,1,0
"806",6,0,1
"807",7,2,0
"808",8,1,1
"809",9,1,0
"810",10,2,2
"811",1,1,1
"812",2,1,0
"813",3,0,0
"814",4,3,0
"815",5,3,0
"816",6,1,0
"817",7,1,0
"818",8,1,1
"819",9,1,0
"820",10,0,1
"821",1,1,0
"822",2,1,0
"823",3,1,1
"824",4,2,0
"825",5,1,0
"826",6,2,0
"827",7,1,0
"828",8,1,0
"829",9,2,0
"830",10,1,0
"831",1,2,0
"832",2,0,1
"833",3,3,0
"834",4,1,1
"835",5,0,3
"836",6,0,2
"837",7,1,1
"838",8,0,0
"839",9,0,1
"840",10,0,1
"841",1,2,0
"842",2,0,1
"843",3,1,1
"844",4,0,2
"845",5,3,0
"846",6,0,1
"847",7,1,0
"848",8,0,1
"849",9,2,0
"850",10,0,0
"851",1,1,0
"852",2,1,0
"853",3,0,1
"854",4,0,2
"855",5,1,0
"856",6,2,0
"857",7,2,0
"858",8,1,1
"859",9,0,1
"860",10,1,1
"861",1,0,0
"862",2,2,0
"863",3,0,2
"864",4,2,1
"865",5,2,1
"866",6,1,1
"867",7,1,1
"868",8,2,0
"869",9,1,0
"870",10,0,1
"871",1,0,1
"872",2,1,1
"873",3,0,2
"874",4,2,0
"875",5,3,0
"876",6,3,0
"877",7,1,1
"878",8,2,0
"879",9,1,2
"880",10,3,1
"881",1,0,0
"882",2,1,1
"883",3,0,0
"884",4,0,2
"885",5,0,0
"886",6,2,1
"887",7,1,0
"888",8,1,0
"889",9,1,0
"890",10,1,1
"891",1,2,0
"892",2,0,1
"893",3,2,0
"894",4,3,0
"895",5,0,2
"896",6,1,0
"897",7,1,0
"898",8,0,2
"899",9,0,2
"900",10,0,0
"901",1,1,0
"902",2,1,0
"903",3,0,1
"904",4,1,0
"905",5,4,0
"906",6,0,0
"907",7,3,0
"908",8,1,0
"909",9,2,1
"910",10,1,0
"911",1,3,0
"912",2,0,0
"913",3,3,0
"914",4,3,0
"915",5,1,2
"916",6,2,0
"917",7,0,0
"918",8,2,1
"919",9,1,1
"920",10,2,0
"921",1,0,0
"922",2,1,0
"923",3,2,1
"924",4,0,1
"925",5,1,0
"926",6,1,1
"927",7,0,2
"928",8,2,1
"929",9,2,0
"930",10,3,0
"931",1,2,0
"932",2,3,0
"933",3,3,0
"934",4,2,0
"935",5,0,1
"936",6,3,0
"937",7,1,1
"938",8,2,0
"939",9,3,0
"940",10,4,0
"941",1,1,1
"942",2,1,0
"943",3,1,2
"944",4,1,1
"945",5,2,0
"946",6,2,1
"947",7,0,1
"948",8,1,1
"949",9,0,3
"950",10,1,1
"951",1,2,1
"952",2,1,0
"953",3,1,0
"954",4,0,0
"955",5,2,0
"956",6,1,0
"957",7,1,0
"958",8,0,0
"959",9,0,1
"960",10,1,0
"961",1,1,0
"962",2,1,0
"963",3,1,0
"964",4,0,1
"965",5,0,1
"966",6,0,2
"967",7,2,0
"968",8,2,0
"969",9,2,0
"970",10,0,0
"971",1,1,1
"972",2,0,1
"973",3,2,0
"974",4,1,1
"975",5,3,0
"976",6,0,3
"977",7,1,2
"978",8,1,2
"979",9,1,1
"980",10,0,1
"981",1,2,1
"982",2,0,1
"983",3,1,0
"984",4,1,2
"985",5,1,1
"986",6,2,0
"987",7,0,1
"988",8,1,1
"989",9,0,1
"990",10,0,2
"991",1,1,0
"992",2,1,0
"993",3,1,0
"994",4,2,1
"995",5,2,0
"996",6,0,2
"997",7,2,0
"998",8,2,1
"999",9,1,1
"1000",10,1,2
"1001",1,0,0
"1002",2,0,2
"1003",3,1,0
"1004",4,1,1
"1005",5,1,0
"1006",6,2,0
"1007",7,0,0
"1008",8,3,0
"1009",9,3,0
"1010",10,1,1
"1011",1,2,0
"1012",2,0,1
"1013",3,0,1
"1014",4,0,2
"1015",5,1,0
"1016",6,1,1
"1017",7,1,0
"1018",8,0,1
"1019",9,0,2
"1020",10,1,1
"1021",1,0,0
"1022",2,1,1
"1023",3,1,1
"1024",4,1,1
"1025",5,1,1
"1026",6,3,0
"1027",7,2,1
"1028",8,0,0
"1029",9,1,0
"1030",10,0,1
"1031",1,1,1
"1032",2,1,0
"1033",3,1,0
"1034",4,1,1
"1035",5,2,0
"1036",6,1,0
"1037",7,1,0
"1038",8,2,0
"1039",9,0,1
"1040",10,2,0
"1041",1,0,1
"1042",2,0,1
"1043",3,0,1
"1044",4,2,1
"1045",5,1,0
"1046",6,1,0
"1047",7,2,0
"1048",8,0,1
"1049",9,0,1
"1050",10,1,0
"1051",1,3,0
"1052",2,0,2
"1053",3,0,2
"1054",4,3,0
"1055",5,1,0
"1056",6,0,1
"1057",7,1,1
"1058",8,2,1
"1059",9,2,0
"1060",10,3,0
"1061",1,0,1
"1062",2,2,0
"1063",3,1,0
"1064",4,3,0
"1065",5,1,1
"1066",6,0,1
"1067",7,2,0
"1068",8,1,2
"1069",9,2,0
"1070",10,0,0
